Date,State,Recovered,Deaths,Confirmed
01/30/2020,Kerala,0,0,1
01/31/2020,Kerala,0,0,1
02/01/2020,Kerala,0,0,2
02/02/2020,Kerala,0,0,3
02/03/2020,Kerala,0,0,3
02/04/2020,Kerala,0,0,3
02/05/2020,Kerala,0,0,3
02/06/2020,Kerala,0,0,3
02/07/2020,Kerala,0,0,3
02/08/2020,Kerala,0,0,3
02/09/2020,Kerala,0,0,3
02/10/2020,Kerala,0,0,3
02/11/2020,Kerala,0,0,3
02/12/2020,Kerala,0,0,3
02/13/2020,Kerala,0,0,3
02/14/2020,Kerala,0,0,3
02/15/2020,Kerala,0,0,3
02/16/2020,Kerala,0,0,3
02/17/2020,Kerala,0,0,3
02/18/2020,Kerala,0,0,3
02/19/2020,Kerala,0,0,3
02/20/2020,Kerala,0,0,3
02/21/2020,Kerala,0,0,3
02/22/2020,Kerala,0,0,3
02/23/2020,Kerala,0,0,3
02/24/2020,Kerala,0,0,3
02/25/2020,Kerala,0,0,3
02/26/2020,Kerala,0,0,3
02/27/2020,Kerala,0,0,3
02/28/2020,Kerala,0,0,3
02/29/2020,Kerala,0,0,3
03/01/2020,Kerala,0,0,3
03/02/2020,Telengana,0,0,1
03/02/2020,Kerala,0,0,3
03/02/2020,Delhi,0,0,1
03/03/2020,Telengana,0,0,1
03/03/2020,Rajasthan,0,0,1
03/03/2020,Kerala,3,0,3
03/03/2020,Delhi,0,0,1
03/04/2020,Uttar Pradesh,0,0,6
03/04/2020,Kerala,3,0,3
03/04/2020,Haryana,0,0,2
03/04/2020,Delhi,0,0,1
03/04/2020,Telengana,0,0,1
03/04/2020,Rajasthan,0,0,15
03/05/2020,Delhi,0,0,2
03/05/2020,Haryana,0,0,2
03/05/2020,Kerala,3,0,3
03/05/2020,Rajasthan,0,0,15
03/05/2020,Telengana,0,0,1
03/05/2020,Uttar Pradesh,0,0,7
03/06/2020,Delhi,0,0,3
03/06/2020,Haryana,0,0,2
03/06/2020,Kerala,3,0,3
03/06/2020,Rajasthan,0,0,15
03/06/2020,Uttar Pradesh,0,0,7
03/06/2020,Telengana,0,0,1
03/07/2020,Kerala,3,0,3
03/07/2020,Uttar Pradesh,0,0,7
03/07/2020,Ladakh,0,0,2
03/07/2020,Telengana,0,0,1
03/07/2020,Tamil Nadu,0,0,1
03/07/2020,Delhi,0,0,3
03/07/2020,Haryana,0,0,2
03/07/2020,Rajasthan,0,0,15
03/08/2020,Ladakh,0,0,2
03/08/2020,Telengana,0,0,1
03/08/2020,Tamil Nadu,0,0,1
03/08/2020,Rajasthan,0,0,15
03/08/2020,Kerala,3,0,8
03/08/2020,Haryana,0,0,2
03/08/2020,Delhi,0,0,3
03/08/2020,Uttar Pradesh,0,0,7
03/09/2020,Ladakh,0,0,2
03/09/2020,Karnataka,0,0,1
03/09/2020,Kerala,3,0,9
03/09/2020,Maharashtra,0,0,2
03/09/2020,Punjab,0,0,1
03/09/2020,Rajasthan,0,0,15
03/09/2020,Tamil Nadu,0,0,1
03/09/2020,Telengana,0,0,1
03/09/2020,Jammu and Kashmir,0,0,1
03/09/2020,Uttar Pradesh,0,0,7
03/09/2020,Haryana,0,0,2
03/09/2020,Delhi,0,0,4
03/10/2020,Uttar Pradesh,0,0,7
03/10/2020,Ladakh,0,0,2
03/10/2020,Delhi,0,0,4
03/10/2020,Haryana,0,0,2
03/10/2020,Karnataka,0,0,4
03/10/2020,Kerala,3,0,15
03/10/2020,Maharashtra,0,0,5
03/10/2020,Punjab,0,0,1
03/10/2020,Rajasthan,0,0,15
03/10/2020,Tamil Nadu,0,0,1
03/10/2020,Telengana,0,0,1
03/10/2020,Jammu and Kashmir,0,0,1
03/11/2020,Maharashtra,0,0,2
03/11/2020,Delhi,0,0,5
03/11/2020,Haryana,0,0,14
03/11/2020,Kerala,3,0,17
03/11/2020,Rajasthan,0,0,3
03/11/2020,Telengana,0,0,1
